episode,steps,return,reached_waypoints,total_waypoints,waypoint_completion_rate,final_waypoint_distance_m,fall
0,62,132.61129486806377,5,5,1.0,0.3429703414440155,False
1,68,144.04610376976288,5,5,1.0,0.34884437918663025,False
2,198,377.7104547171959,4,5,0.8,1.1313838958740234,True
3,72,155.46761451160188,5,5,1.0,0.34879738092422485,False
4,521,1295.8753977602164,4,5,0.8,6.565774917602539,True
5,64,137.57486627358466,5,5,1.0,0.3430953919887543,False
6,64,142.98166285152385,5,5,1.0,0.3481656610965729,False
7,801,2127.762792202315,4,5,0.8,12.830344200134277,False
8,61,133.6215970528335,5,5,1.0,0.34924736618995667,False
9,58,127.6610714523538,5,5,1.0,0.3488774001598358,False
10,57,127.89044371892466,5,5,1.0,0.3433654010295868,False
11,69,151.54886228243018,5,5,1.0,0.34745728969573975,False
12,68,138.2517793623867,5,5,1.0,0.34629523754119873,False
13,801,2098.0011485696496,4,5,0.8,12.068543434143066,False
14,58,129.13951969263059,5,5,1.0,0.34991708397865295,False
15,61,125.70142574103244,5,5,1.0,0.3444111943244934,False
16,61,132.1141923667832,5,5,1.0,0.3442579507827759,False
17,764,1293.4262933715047,4,5,0.8,4.481472969055176,True
18,57,123.71846588185649,5,5,1.0,0.3364183306694031,False
19,69,137.6376274128981,5,5,1.0,0.3482992351055145,False
